Best of 5 Algorithm Selection Summary
============================================================
SparseEA        | Chosen: SparseEA_run4.py     | IGD: 0.0663 | Time: 0.67s
SSCEA           | Chosen: SSCEA_run1.py        | IGD: 0.0907 | Time: 4.68s
BiGE            | Chosen: BiGE_run2.py         | IGD: 0.0654 | Time: 1.20s
TS-NSGA-II      | Chosen: TS-NSGA-II_run2.py   | IGD: 0.0552 | Time: 3.16s
MOEA-D-DCWV     | Chosen: MOEA-D-DCWV_run3.py  | IGD: 0.0597 | Time: 0.36s
MOCell          | Chosen: MOCell_run2.py       | IGD: 0.0760 | Time: 3.04s
AGE-MOEA        | Chosen: AGE-MOEA_run4.py     | IGD: 0.1309 | Time: 3.17s
TELSO           | Chosen: TELSO_run2.py        | IGD: 0.0543 | Time: 0.44s
GWASF-GA        | Chosen: GWASF-GA_run1.py     | IGD: 0.0749 | Time: 0.40s
PICEA-g         | Chosen: PICEA-g_run4.py      | IGD: 0.1104 | Time: 1.18s
CMOEA-MS        | Chosen: CMOEA-MS_run3.py     | IGD: 0.0552 | Time: 2.32s
MOEA-D-URAW     | Chosen: MOEA-D-URAW_run2.py  | IGD: 0.0621 | Time: 4.05s
NSGA-II-SDR     | Chosen: NSGA-II-SDR_run5.py  | IGD: 0.0579 | Time: 1.52s
NSBiDiCo        | Chosen: NSBiDiCo_run3.py     | IGD: 0.0661 | Time: 0.87s
VaEA            | Chosen: VaEA_run5.py         | IGD: 0.0550 | Time: 3.32s
SIBEA           | Chosen: SIBEA_run2.py        | IGD: 0.0700 | Time: 1.45s
GDE3            | Chosen: GDE3_run1.py         | IGD: 0.0750 | Time: 1.70s
r-NSGA-II       | Chosen: r-NSGA-II_run4.py    | IGD: 0.2165 | Time: 10.27s
SMPSO           | Chosen: SMPSO_run3.py        | IGD: 0.0913 | Time: 5.06s
DM-MOEA         | Chosen: DM-MOEA_run4.py      | IGD: 0.0713 | Time: 0.82s
MTEA-D-DN       | Chosen: MTEA-D-DN_run3.py    | IGD: 0.1078 | Time: 0.66s
MOEA-D-VOV      | Chosen: MOEA-D-VOV_run3.py   | IGD: 0.0632 | Time: 1.12s
MOEA-D-M2M      | Chosen: MOEA-D-M2M_run5.py   | IGD: 0.0976 | Time: 1.26s
SparseEA2       | Chosen: SparseEA2_run2.py    | IGD: 0.0649 | Time: 1.31s
tDEA-CPBI       | Chosen: tDEA-CPBI_run1.py    | IGD: 0.0572 | Time: 0.16s
MOEA-D-DE       | Chosen: MOEA-D-DE_run2.py    | IGD: 0.0805 | Time: 0.21s
OSP-NSDE        | Chosen: OSP-NSDE_run5.py     | IGD: 0.0707 | Time: 0.62s
CMOPSO          | Chosen: CMOPSO_run3.py       | IGD: 0.0605 | Time: 0.94s
MOEA-D-DRA      | Chosen: MOEA-D-DRA_run1.py   | IGD: 0.0826 | Time: 1.21s
MOEA-D-AWA      | Chosen: MOEA-D-AWA_run4.py   | IGD: 0.0697 | Time: 2.79s
e-MOEA          | Chosen: e-MOEA_run4.py       | IGD: 0.0912 | Time: 1.63s
KnEA            | Chosen: KnEA_run4.py         | IGD: 0.0591 | Time: 4.10s
PESA-II         | Chosen: PESA-II_run3.py      | IGD: 0.0813 | Time: 0.40s
MOEA-D-FRRMAB   | Chosen: MOEA-D-FRRMAB_run3.py | IGD: 0.0805 | Time: 1.06s
TS-SparseEA     | Chosen: TS-SparseEA_run3.py  | IGD: 0.0844 | Time: 1.93s
t-DEA           | Chosen: t-DEA_run1.py        | IGD: 0.0551 | Time: 0.10s
WASF-GA         | Chosen: WASF-GA_run5.py      | IGD: 0.0702 | Time: 0.25s
CLIA            | Chosen: CLIA_run5.py         | IGD: 0.0696 | Time: 2.10s
MOEA-D-DU       | Chosen: MOEA-D-DU_run3.py    | IGD: 0.0598 | Time: 0.25s
MOEA-D-MRDL     | Chosen: MOEA-D-MRDL_run5.py  | IGD: 0.0887 | Time: 1.07s
EFR-RR          | Chosen: EFR-RR_run2.py       | IGD: 0.0558 | Time: 0.15s
PREA            | Chosen: PREA_run3.py         | IGD: 0.0585 | Time: 3.84s
GrEA            | Chosen: GrEA_run4.py         | IGD: 0.0977 | Time: 2.81s
MOEA-D-PaS      | Chosen: MOEA-D-PaS_run1.py   | IGD: 0.0758 | Time: 1.07s
MOEA-D-STM      | Chosen: MOEA-D-STM_run3.py   | IGD: 0.0739 | Time: 3.08s
SPEA-R          | Chosen: SPEA-R_run3.py       | IGD: 0.0546 | Time: 0.26s
BCE-IBEA        | Chosen: BCE-IBEA_run5.py     | IGD: 0.0711 | Time: 2.63s
MOEA-D-DYTS     | Chosen: MOEA-D-DYTS_run2.py  | IGD: 0.0742 | Time: 2.31s
BCE-MOEA-D      | Chosen: BCE-MOEA-D_run3.py   | IGD: 0.0692 | Time: 7.51s
hpaEA           | Chosen: hpaEA_run1.py        | IGD: 0.0328 | Time: 2.73s
